Date,Open,High,Low,Close,Volume,Adj Close
4/7/2017,226.600006,228.830002,226.229996,227.880005,2849600,227.880005
4/6/2017,227.089996,230.119995,225.710007,228.639999,2918300,228.639999
4/5/2017,232.149994,232.889999,227.309998,227.660004,5278000,227.660004
4/4/2017,227.720001,230.690002,227.279999,229.259995,3032100,229.259995
4/3/2017,230,230.100006,225.570007,228.960007,3715600,228.960007
3/31/2017,230.529999,230.800003,228.729996,229.720001,2855000,229.720001
3/30/2017,229.479996,232,229.380005,231.220001,3150600,231.220001
3/29/2017,229.389999,229.970001,227.520004,228.449997,2631600,228.449997
3/28/2017,225.580002,229.75,225.100006,229.330002,4276000,229.330002
3/27/2017,223.300003,227.070007,220.850006,225.479996,9173000,225.479996
3/24/2017,233,233.699997,226.970001,228.410004,6359700,228.410004
3/23/2017,230.75,234.630005,229.949997,231.899994,4637500,231.899994
3/22/2017,231.220001,232.919998,229.160004,231.070007,6272700,231.070007
3/21/2017,243.309998,243.309998,232.789993,233,5614900,233
3/20/2017,243.320007,244.929993,241.520004,242.139999,2703800,242.139999
3/17/2017,249.679993,249.679993,243.860001,243.940002,5405700,243.940002
3/16/2017,247.850006,250.199997,247.309998,248.220001,2918400,248.220001
3/15/2017,248.350006,250.279999,245.559998,246.779999,3375400,246.779999
3/14/2017,246.809998,247.830002,245.410004,247.720001,2141900,247.720001
3/13/2017,249.320007,249.320007,247.210007,248.160004,1782700,248.160004
3/10/2017,251.839996,251.899994,246.869995,248.380005,3357800,248.380005
3/9/2017,251.220001,252.740005,249.520004,250.179993,3055700,250.179993
3/8/2017,253.619995,254.770004,249.610001,250.240005,3574400,250.240005
3/7/2017,252.490005,253,250.309998,250.899994,2414900,250.899994
3/6/2017,252.169998,252.729996,250.5,252.009995,2462300,252.009995
3/3/2017,251.059998,254.75,251.059998,252.889999,3163700,252.889999
3/2/2017,253.520004,254.240005,250.970001,251.059998,3020000,251.059998
3/1/2017,253.710007,255.149994,251.259995,252.710007,5218300,252.710007
2/28/2017,248,249,245.610001,248.059998,3627100,248.059998
2/27/2017,247.210007,249.759995,246.610001,249.330002,2372600,248.680002
2/24/2017,247.699997,248.880005,246.100006,247.350006,3565400,246.705168
2/23/2017,251.309998,251.899994,249.320007,251.190002,2594700,250.535153
2/22/2017,250.059998,252.350006,250,251.729996,2378800,251.073739
2/21/2017,251,252.649994,250.710007,251.759995,2794900,251.103659
2/17/2017,247.509995,250.559998,247.110001,250.380005,3262300,249.727267
2/16/2017,250.300003,250.779999,248.440002,249.440002,2286300,248.789715
2/15/2017,250.580002,251.949997,248.509995,250.539993,4296600,249.886839
2/14/2017,246.009995,250,245.690002,249.460007,4141500,248.809667
2/13/2017,244.490005,247.479996,244.490005,246.270004,2998200,245.627981
2/10/2017,243.369995,244.160004,241.229996,242.720001,3072800,242.087233
2/9/2017,237.729996,243.289993,237.419998,241.550003,3550800,240.920285
2/8/2017,238.300003,238.940002,236.309998,237.729996,2744700,237.110236
2/7/2017,241.149994,241.440002,239.389999,239.619995,2660200,238.995309
2/6/2017,239.600006,243.649994,239.169998,239.979996,4639200,239.354371
2/3/2017,234.520004,241.110001,234.199997,240.949997,7381000,240.321843
2/2/2017,228.509995,232.330002,227.050003,230.410004,2775700,229.809328
2/1/2017,230.509995,232.860001,229.520004,230.669998,4024500,230.068644
1/31/2017,232.850006,234.350006,228.160004,229.320007,5156400,228.722173
1/30/2017,235.580002,236.289993,231.520004,233.899994,3803300,233.290219
1/27/2017,236.899994,237.970001,236.009995,236.949997,3253100,236.332271
1/26/2017,237.470001,240.789993,237.470001,239.580002,4187100,238.95542
1/25/2017,235.529999,237.330002,234.490005,237.25,3716800,236.631492
1/24/2017,231.860001,236.059998,230.839996,233.679993,4448200,233.070792
1/23/2017,231.860001,233.75,230.75,232.669998,3136200,232.06343
1/20/2017,231.619995,233.229996,230.539993,232.199997,5211800,231.594654
1/19/2017,234.070007,234.75,230.619995,231.410004,4561800,230.806721
1/18/2017,236,237.690002,231.520004,234.289993,7590500,233.679202
1/17/2017,242.940002,243.059998,235.610001,235.740005,6277200,235.125434
1/13/2017,245.429993,247.770004,242.910004,244.300003,4186100,243.663116
1/12/2017,245.059998,245.470001,241.570007,243.839996,4022300,243.204308
1/11/2017,242.770004,245.839996,242,245.759995,3532600,245.119301
1/10/2017,240.869995,243.440002,239.050003,242.570007,3432900,241.93763
1/9/2017,243.25,244.690002,241.470001,242.889999,3018600,242.256788
1/6/2017,242.289993,246.199997,241.369995,244.899994,3591100,244.261543
1/5/2017,242.720001,243.229996,236.779999,241.320007,3562600,240.690889
1/4/2017,241.440002,243.320007,240.029999,243.130005,2728700,242.496168
1/3/2017,242.699997,244.970001,237.970001,241.570007,4384200,240.940237
12/30/2016,238.509995,240.5,237.399994,239.449997,2355500,238.825754
