Date,Open,High,Low,Close,Volume,Adj Close
4/7/2017,20.68,21.08,20.6,20.82,10553100,20.82
4/6/2017,20.76,20.76,20.030001,20.57,20907700,20.57
4/5/2017,22.15,22.219999,20.67,20.700001,24254000,20.700001
4/4/2017,22.209999,22.67,21.879999,22.139999,16292300,22.139999
4/3/2017,22.700001,22.9,22.110001,22.35,12496400,22.35
3/31/2017,22.049999,22.620001,22,22.530001,15010300,22.530001
3/30/2017,22.549999,22.85,22,22.23,17035800,22.23
3/29/2017,21.77,22.709999,21.33,22.549999,31407400,22.549999
3/28/2017,23.309999,23.360001,22.17,22.209999,49551200,22.209999
3/27/2017,23.09,24.4,22.6,23.83,48246200,23.83
3/24/2017,23.049999,23.1,22.34,22.74,17227900,22.74
3/23/2017,22.690001,23.299999,22.219999,23.129999,40462800,23.129999
3/22/2017,20.65,22.25,20.52,21.82,47259200,21.82
3/21/2017,20.040001,20.540001,19.549999,20.379999,19801500,20.379999
3/20/2017,19.940001,20.43,19.719999,19.93,20944600,19.93
3/17/2017,19.799999,19.85,18.9,19.540001,33376500,19.540001
3/16/2017,20.65,20.690001,19.75,19.889999,25493400,19.889999
3/15/2017,20.08,21.4,20.049999,20.77,24883500,20.77
3/14/2017,20.9,20.98,20.15,20.58,19959300,20.58
3/13/2017,22.049999,22.15,20.959999,21.09,20487700,21.09
3/10/2017,23.360001,23.4,22,22.07,18269300,22.07
3/9/2017,23.17,23.68,22.51,22.709999,25743900,22.709999
3/8/2017,22.030001,23.43,21.309999,22.809999,49724600,22.809999
3/7/2017,22.209999,22.5,20.639999,21.440001,71700600,21.440001
