Date,Open,High,Low,Close,Volume,Adj Close
4/7/2017,83.239998,83.360001,82.68,82.760002,8890100,82.760002
4/6/2017,82.75,83.209999,82.459999,83.010002,9513300,83.010002
4/5/2017,82.849998,83.550003,82.470001,82.529999,13623300,82.529999
4/4/2017,82.099998,82.419998,81.330002,82.370003,9214700,82.370003
4/3/2017,82.019997,82.309998,81.349998,82.07,11431800,82.07
3/31/2017,83.260002,83.309998,81.860001,82.010002,21705800,82.010002
3/30/2017,82.029999,83.870003,81.940002,83.699997,44656400,83.699997
3/29/2017,81.690002,82.279999,81.550003,82.019997,8350800,82.019997
3/28/2017,81.32,82.019997,80.959999,81.839996,10710800,81.839996
3/27/2017,80.82,81.43,80.790001,81.25,8445000,81.25
3/24/2017,82.029999,82.029999,81.150002,81.230003,8965100,81.230003
3/23/2017,81.629997,82.220001,81.459999,81.860001,8722100,81.860001
3/22/2017,81.959999,82.089996,81.43,81.760002,11127300,81.760002
3/21/2017,82.160004,82.349998,81.599998,81.830002,12946500,81.830002
3/20/2017,81.720001,82.040001,81.440002,82,7293700,82
3/17/2017,82.029999,82.260002,81.82,82,18575600,82
3/16/2017,82.029999,82.199997,81.669998,82.07,9825000,82.07
3/15/2017,81.349998,82.059998,81.050003,82,11131100,82
3/14/2017,81,81.230003,80.440002,80.989998,11181500,80.989998
3/13/2017,81.5,81.940002,81.050003,81.419998,9414200,81.419998
3/10/2017,82.440002,82.470001,81.160004,81.610001,11301000,81.610001
3/9/2017,80.639999,81.720001,80.309998,81.669998,14506200,81.669998
3/8/2017,82.349998,82.379997,81.010002,81.029999,16380500,81.029999
3/7/2017,83.110001,83.290001,82.139999,82.519997,12470300,82.519997
