Date,Open,High,Low,Close,Volume,Adj Close
4/6/2017,296.880005,301.940002,294.100006,298.700012,5512600,298.700012
4/5/2017,302.040009,304.880005,294.200012,295,7839500,295
4/4/2017,296.890015,304.809998,294.529999,303.700012,10099400,303.700012
4/3/2017,286.899994,299,284.579987,298.519989,13842300,298.519989
3/31/2017,278.730011,279.679993,276.320007,278.299988,3288600,278.299988
3/30/2017,278.040009,282,277.209991,277.920013,4136700,277.920013
3/29/2017,278.339996,279.600006,275.540009,277.380005,3667800,277.380005
3/28/2017,277.019989,280.679993,275,277.450012,7966200,277.450012
3/27/2017,260.600006,270.570007,259.75,270.220001,6217800,270.220001
3/24/2017,255.699997,263.890015,255.009995,263.160004,5619600,263.160004
3/23/2017,255.389999,257.670013,253.300003,254.779999,3299700,254.779999
3/22/2017,251.559998,255.070007,250.509995,255.009995,4029100,255.009995
3/21/2017,262.829987,264.799988,250.240005,250.679993,6891700,250.679993
3/20/2017,260.600006,264.549988,258.820007,261.920013,3597500,261.920013
3/17/2017,264,265.329987,261.200012,261.5,6475900,261.5
3/16/2017,262.399994,265.75,259.059998,262.049988,7100400,262.049988
3/15/2017,257,261,254.270004,255.729996,4816600,255.729996
3/14/2017,246.110001,258.119995,246.020004,258,7575500,258
3/13/2017,244.820007,246.850006,242.779999,246.169998,3010700,246.169998
3/10/2017,246.210007,246.5,243,243.690002,3057000,243.690002
3/9/2017,247.630005,248.660004,243,244.899994,3861500,244.899994
3/8/2017,247,250.070007,245.320007,246.869995,3725200,246.869995
3/7/2017,251.919998,253.889999,248.320007,248.589996,3449200,248.589996
3/6/2017,247.910004,251.699997,247.509995,251.210007,3351200,251.210007
